project_name,num_features,reduction_percentage,feature_names
LogisticRegression_17_features_reduced_by_0_percent0,17,0,"Smoking, BMI, Sex, Diabetic, AlcoholDrinking, PhysicalHealth, MentalHealth, PhysicalActivity, SkinCancer, GenHealth, Race, Stroke, AgeCategory, SleepTime, Asthma, KidneyDisease, DiffWalking"
LogisticRegression_17_features_reduced_by_20_percent0,17,20,"Smoking, BMI, Sex, Diabetic, AlcoholDrinking, PhysicalHealth, MentalHealth, PhysicalActivity, SkinCancer, GenHealth, Race, Stroke, AgeCategory, SleepTime, Asthma, KidneyDisease, DiffWalking"
LogisticRegression_17_features_reduced_by_40_percent0,17,40,"Smoking, BMI, Sex, Diabetic, AlcoholDrinking, PhysicalHealth, MentalHealth, PhysicalActivity, SkinCancer, GenHealth, Race, Stroke, AgeCategory, SleepTime, Asthma, KidneyDisease, DiffWalking"
LogisticRegression_17_features_reduced_by_60_percent0,17,60,"Smoking, BMI, Sex, Diabetic, AlcoholDrinking, PhysicalHealth, MentalHealth, PhysicalActivity, SkinCancer, GenHealth, Race, Stroke, AgeCategory, SleepTime, Asthma, KidneyDisease, DiffWalking"
LogisticRegression_17_features_reduced_by_80_percent0,17,80,"Smoking, BMI, Sex, Diabetic, AlcoholDrinking, PhysicalHealth, MentalHealth, PhysicalActivity, SkinCancer, GenHealth, Race, Stroke, AgeCategory, SleepTime, Asthma, KidneyDisease, DiffWalking"
LogisticRegression_16_features_reduced_by_0_percent0,16,0,"MentalHealth, Sex, BMI, Diabetic, Race, Stroke, AgeCategory, SkinCancer, PhysicalActivity, AlcoholDrinking, GenHealth, KidneyDisease, PhysicalHealth, DiffWalking, Asthma, SleepTime"
LogisticRegression_16_features_reduced_by_20_percent0,16,20,"MentalHealth, Sex, BMI, Diabetic, Race, Stroke, AgeCategory, SkinCancer, PhysicalActivity, AlcoholDrinking, GenHealth, KidneyDisease, PhysicalHealth, DiffWalking, Asthma, SleepTime"
LogisticRegression_16_features_reduced_by_40_percent0,16,40,"MentalHealth, Sex, BMI, Diabetic, Race, Stroke, AgeCategory, SkinCancer, PhysicalActivity, AlcoholDrinking, GenHealth, KidneyDisease, PhysicalHealth, DiffWalking, Asthma, SleepTime"
LogisticRegression_16_features_reduced_by_60_percent0,16,60,"MentalHealth, Sex, BMI, Diabetic, Race, Stroke, AgeCategory, SkinCancer, PhysicalActivity, AlcoholDrinking, GenHealth, KidneyDisease, PhysicalHealth, DiffWalking, Asthma, SleepTime"
LogisticRegression_16_features_reduced_by_80_percent0,16,80,"MentalHealth, Sex, BMI, Diabetic, Race, Stroke, AgeCategory, SkinCancer, PhysicalActivity, AlcoholDrinking, GenHealth, KidneyDisease, PhysicalHealth, DiffWalking, Asthma, SleepTime"
